comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply,cleaned_text
Ugy8Fyk1Gjh3HRtDM1l4AaABAg,j2qUj7a0ja8,@kausharazam786,Love From Us 😍,16,2026-01-30T15:49:45Z,0,False,love from us
UgxtZNkiCdIxSnn_sqV4AaABAg,j2qUj7a0ja8,@mohmmadhaiderquarrar2464,Honest peaple always apriciate to dhurv  rathi,2,2026-02-11T07:21:45Z,0,False,honest peaple always apriciate to dhurv rathi
Ugy1zpRYxiVspPGqUcZ4AaABAg,j2qUj7a0ja8,@IMperfect9007,Thankyou Dhruv rathee sir for providing such a beautiful platform...for everyone ❤,14,2026-01-31T04:07:45Z,0,False,thankyou dhruv rathee sir for providing such a beautiful platform...for everyone
UgxEGT8JUoXR9zeOOI94AaABAg,j2qUj7a0ja8,@malukshorts,Looking like Enrique iglesias,0,2026-02-12T10:20:06Z,0,False,looking like enrique iglesias
UgxDbCfma_TovRPP9Tl4AaABAg,j2qUj7a0ja8,@EducationWithaa777,बहुत बहुत शुभकामनाएं dhruv rathee भाई जी 🎉,8,2026-01-31T03:27:54Z,0,False,dhruv rathee
Ugw1tb3PC13m-kxQeh54AaABAg,j2qUj7a0ja8,@ShivamYadav-em3it,Dhruv's simplicity rocking the whole youtube platform ❤,3,2026-02-02T17:20:31Z,0,False,dhruvs simplicity rocking the whole youtube platform
UgziLfdg7rVTB3qH-rh4AaABAg,j2qUj7a0ja8,@BinuBuragohain-g1x,Kon kon manta h Bhai Dhruv Rathee... One Man Army!✅❤🇮🇳,236,2026-01-31T05:01:16Z,4,False,kon kon manta h bhai dhruv rathee... one man army!
UgziLfdg7rVTB3qH-rh4AaABAg.ASculHOGvUTASdcIxIq_2q,j2qUj7a0ja8,@Amritraj-e7o,No this time 34 million army but  in future 1 billion family ❤❤,4,2026-01-31T11:39:13Z,0,True,no this time million army but in future billion family
UgziLfdg7rVTB3qH-rh4AaABAg.ASculHOGvUTASgygFIWl7r,j2qUj7a0ja8,@DrDonutOffifcial,​@Amritraj-e7o34 million isn't enough ???,1,2026-02-01T18:52:29Z,0,True,million isnt enough ???
UgziLfdg7rVTB3qH-rh4AaABAg.ASculHOGvUTAShmKiEy2Yw,j2qUj7a0ja8,@Amritraj-e7o,​@DrDonutOffifcialmaybe no,0,2026-02-02T02:23:48Z,0,True,no
UgziLfdg7rVTB3qH-rh4AaABAg.ASculHOGvUTAShzWEjE5AJ,j2qUj7a0ja8,@HumaKhan-p2l,Me....😊,1,2026-02-02T04:18:58Z,0,True,me....
UgzXENmQqF3FHCXqQPF4AaABAg,j2qUj7a0ja8,@revabsoul,Pehli bar itna acche se English samajh aaya 😊,1,2026-02-02T05:43:38Z,0,False,pehli bar itna acche se english samajh aaya
UgzMAQW8ihaac8R1u_54AaABAg,j2qUj7a0ja8,@Parthamondal1089-x5b,Haters always crying but keep it up dhruv bhayia❤❤,163,2026-01-30T19:45:26Z,1,False,haters always crying but keep it up dhruv bhayia
UgzMAQW8ihaac8R1u_54AaABAg.ASbv9Eqs0LHASgUJt7cIEB,j2qUj7a0ja8,@gauravbaranwal3228,Read srila PRAPHUPAD book,1,2026-02-01T14:18:25Z,0,True,read srila praphupad book
UgyOriY6CWIDwrUqYpl4AaABAg,j2qUj7a0ja8,@SwordofJustice0,Andhbhaktoon kaisa laga😂😂😂,31,2026-01-30T18:17:24Z,1,False,andhbhaktoon kaisa laga
