comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply
UgweIU3Ym5t-q0ia4lB4AaABAg,j2qUj7a0ja8,@pravinchoudhary9665,"Dhruv Rathee’s speech at the 1 Billion Summit in Dubai was incredibly inspiring and thought-provoking.His clarity of thought, passion for positive change, and commitment to impactful ideas truly resonated. A powerful message delivered with conviction  one that motivates us all to think deeper and act with purpose. Well done 😊",39,2026-01-31T10:01:14Z,0,False
UgxuLKhkZhw7DdNEtOZ4AaABAg,j2qUj7a0ja8,@SunilRajpootOfficial,"ध्रुव राठी जी को इतनी बड़ी स्पीच देते हुए, मैंने पहली बार देखा है, वो भी अंग्रेजी में, हमारे देश के नौजवान ध्रुव राठी जी!",782,2026-01-31T03:43:55Z,7,False
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASd4a8BlyP-,j2qUj7a0ja8,@sayyedsahil4184,DhruRati absolutely right aways 🎉🎉❤,15,2026-01-31T06:35:52Z,0,True
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASdU3AdCugH,j2qUj7a0ja8,@Divyanshu-j4c9u,😂😂😂,6,2026-01-31T10:18:25Z,0,True
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASe-dotaxfQ,j2qUj7a0ja8,@Xd-Deepan,Bhai enghindi pe bolo mujhe pure hindi nahi aata 😢,3,2026-01-31T15:11:55Z,0,True
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASgKsrO2-cT,j2qUj7a0ja8,@mellowmood9,"Chill, not a Tedx",3,2026-02-01T12:55:57Z,0,True
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASgOAshIWb7,j2qUj7a0ja8,@PapraZMunsyariOfficial11,To Tu mdr14 Youvaa nhi hai,0,2026-02-01T13:24:46Z,0,True
UgzHDRqhYdbeSHehO5B4AaABAg,j2qUj7a0ja8,@nicecodes,"Honestly, who hasn’t heard of Dhruv Rathee? He’s one of the most recognized voices on YouTube right now.",19,2026-01-31T14:11:08Z,0,False
UgzhzWWsVzw-FCcUjhN4AaABAg,j2qUj7a0ja8,@Akash.v5,0:46 indian youtuber ❤,135,2026-01-31T11:25:30Z,1,False
UgzhzWWsVzw-FCcUjhN4AaABAg.ASdajUoiBh6ASybshXdPx2,j2qUj7a0ja8,@adityay2k,😂😂,0,2026-02-08T15:19:33Z,0,True
UgxUJAx_ZapeysjUdcl4AaABAg,j2qUj7a0ja8,@Sachiin_S1,Bahoot dino de dhruv bhai ko kaun kaun sun rha 😊🫠,507,2026-01-30T15:43:07Z,15,False
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1ASbnE-mwY6D,j2qUj7a0ja8,@Shahrikgamerz,Dino se nahi bhai main 2019 se sun raha hu dhruv bhai ko.,7,2026-01-30T18:36:11Z,0,True
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1ASbqT2qHJSc,j2qUj7a0ja8,@user-vc7kn6lv8b,​@Shahrikgamerzaur me 2017 Sai ☠️,2,2026-01-30T19:04:27Z,0,True
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1ASbv-L83ZoX,j2qUj7a0ja8,@AnujSharma-t4x,I'm watching him around 2019-2020. At that time I got smartphone too.,0,2026-01-30T19:44:05Z,0,True
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1AScFI9ZMWQd,j2qUj7a0ja8,@TryAI-p3f,Kuch mil gya kya,2,2026-01-30T22:50:09Z,0,True
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1AScQZY0ru4v,j2qUj7a0ja8,@thecarX_toonz,​@TryAI-p3fbahat kuch...,0,2026-01-31T00:28:38Z,0,True
UgztLHCtNQc7QesSER54AaABAg,j2qUj7a0ja8,@anuradhagupta376,"मुझे इंग्लिस समझ नहीं आती फिर भी मै सारी वीडियो दिखी हूँ,,,,, और जो भी वीडियो है सारी देख रखी हूँ ,,, dhurv bhai आपके बोलने का तरीका बहुत अच्छा लगता है,,,, ❤",37,2026-01-31T11:23:33Z,0,False
Ugz5D_C7cdCFb5o8rHB4AaABAg,j2qUj7a0ja8,@Shivamroy05k,Dhruv fans attendance here !,2871,2026-01-30T15:21:44Z,51,False
Ugz5D_C7cdCFb5o8rHB4AaABAg.ASbRyuSAlGLASbTzBzW-ua,j2qUj7a0ja8,@MMGAMINGPRO0909,"Yes, sir 🙋",10,2026-01-30T15:39:15Z,0,True
Ugz5D_C7cdCFb5o8rHB4AaABAg.ASbRyuSAlGLASbZXsAhiyH,j2qUj7a0ja8,@ExpertFiroj,Attendance lagao bhai log,17,2026-01-30T16:27:49Z,0,True
Ugz5D_C7cdCFb5o8rHB4AaABAg.ASbRyuSAlGLASbk3jFvz-g,j2qUj7a0ja8,@Kingbeast7A,🙋🏻,5,2026-01-30T18:08:33Z,0,True
Ugz5D_C7cdCFb5o8rHB4AaABAg.ASbRyuSAlGLASbkVKe8Xjl,j2qUj7a0ja8,@realArRaihan,Yes sir,7,2026-01-30T18:12:20Z,0,True
Ugz5D_C7cdCFb5o8rHB4AaABAg.ASbRyuSAlGLASbl_LV-XxZ,j2qUj7a0ja8,@yasmeensmakeover,🙋,4,2026-01-30T18:21:45Z,0,True
UgwepUtUegZh2WQmwo94AaABAg,j2qUj7a0ja8,@TipsGuru4,Real Indian Youth and Inspiration,18,2026-01-31T17:09:27Z,0,False
Ugyw_4V1BZhtHhbbs-l4AaABAg,j2qUj7a0ja8,@Anupam-q9z,looks like mark zookerberg,53,2026-01-31T06:35:41Z,0,False
Ugz32zKVyY-uxwWPWyR4AaABAg,j2qUj7a0ja8,@Praveen__Gupta,Big Fain From Nepal 🇳🇵,42,2026-01-31T13:48:24Z,0,False
UgzQhkguFLLL8JNIM2V4AaABAg,j2qUj7a0ja8,@Pankaikhangham,Jobhi video dekho kbhi bored hone hi nhi deta hai bhai 😢,129,2026-01-30T20:07:33Z,0,False
Ugyz4bjgc55zH9Vi_IB4AaABAg,j2qUj7a0ja8,@shalinilife_style,It's not a big deal guys to speak english hamare indian english bolte h ye to fir bhi foreigner h btw his voice is awesome 😊,10,2026-01-31T21:01:14Z,0,False
